Feedback,Ratings,clean_text,dominant_topic,theme_label,predicted_rating,residual,dominant_contributor_topic,dominant_contributor_theme,most_positive_theme,most_negative_theme,topic_prob_1,topic_prob_2,topic_prob_3,topic_prob_4,topic_prob_5,contrib_1,contrib_2,contrib_3,contrib_4,contrib_5,topic_present_1,topic_present_2,topic_present_3,topic_present_4,topic_present_5,review_theme_for_action,theme_risk_score,theme_priority_rank,effort_estimate,recommendation,kpi_pack,quick_wins,high_effort_fixes,kpi_urgency_score
"Good and clean hospital. There is great team of doctors and good OT facility. The medical facilities are all great with good in-patient post operative care by doctors, nurses. The housekeeping staff is also good but they can respond to calls from the room a little faster. ",5.0,good clean hospital great team doctor good facility medical facility great good patient post operative care doctor nurse housekeeping staff also good respond call room little faster,4,Consultation & Positive Patient Experience,4.278576667730064,0.7214233322699357,4,Consultation & Positive Patient Experience,Consultation & Positive Patient Experience,Clinical Care & Treatment Quality,0.007770861560833445,0.00782446460631206,0.0077508854857374,0.9688771144496905,0.007776673897426643,-0.00017533395281276595,0.00010416474680582694,-4.0050596746896266e-05,0.019556468328479543,-6.649073868720199e-05,0,0,0,1,0,Consultation & Positive Patient Experience,0.006083226390717464,1,Quick Win,Improve communication scripts and consultation transparency; provide discharge instructions and next-steps summary.,"[{""kpi"": ""Communication complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Patient satisfaction (post-visit survey)"", ""target"": ""> 4.2/5""}, {""kpi"": ""Instruction clarity score (%)"", ""target"": ""> 90%""}]",[],[],2.6
Had a really bad experience during discharge. They need to be sensitive and more transparent towards the patient and his/her family. ,5.0,really bad experience discharge need sensitive transparent towards patient family,5,Wait Time & Operational Efficiency,3.285470947019483,1.714529052980517,5,Wait Time & Operational Efficiency,Consultation & Positive Patient Experience,Wait Time & Operational Efficiency,0.025727008635377288,0.0254522891728338,0.025285078000224382,0.025169263872315297,0.8983663603192492,-0.0005804785071483202,0.0003388386797964621,-0.00013065377685740135,0.0005080333763994974,-0.007681052812195975,0,0,0,0,1,Wait Time & Operational Efficiency,0.00080939824976496,4,High Effort,Optimize appointment scheduling and triage workflow; add capacity buffers during peak hours.,"[{""kpi"": ""Avg waiting time (minutes)"", ""target"": ""< 15""}, {""kpi"": ""On-time appointment rate (%)"", ""target"": ""> 85%""}, {""kpi"": ""Patients leaving without being seen (%)"", ""target"": ""< 2%""}]",[],[],1.4
I have visited to take my second dose and Process was really smooth. Hospitality from all staffs are really appreciable. Shanti tooks good care and provide all details before vaccination. Thank you.,4.0,visited take second dose process really smooth hospitality staff really appreciable shanti tooks good care provide detail vaccination thank,4,Consultation & Positive Patient Experience,4.2112684669538005,-0.21126846695380053,1,Clinical Care & Treatment Quality,Consultation & Positive Patient Experience,Clinical Care & Treatment Quality,0.410767111818215,0.01588105426626425,0.01570901705476613,0.44471231495416313,0.11293050190659144,-0.009268138524507002,0.00021141970471954332,-8.11720813716419e-05,0.008976372930044585,-0.000965558359669738,1,0,0,1,0,Clinical Care & Treatment Quality,0.005357950627230814,2,High Effort,Standardize clinical pathways; introduce peer review + checklist adherence; increase follow-up quality checks.,"[{""kpi"": ""Clinical complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Follow-up completion rate (%)"", ""target"": ""> 80%""}, {""kpi"": ""Readmission rate (if available)"", ""target"": ""Decrease MoM""}]",[],[],2.8
" That person was slightly clueless and offered only one package. But once i got to the hospital, I found a better and more economical one and decided to go ahead",3.0,person slightly clueless offered one package got hospital found better economical one decided ahead,3,Emergency Service Failures,3.215942712834195,-0.21594271283419486,3,Emergency Service Failures,Consultation & Positive Patient Experience,Emergency Service Failures,0.034126457624363594,0.033351760193093875,0.8655729227159652,0.033488720070372936,0.0334601393962044,-0.0007699952783787947,0.00044400196445897586,-0.004472613115820202,0.000675958884413894,-0.000286084952818528,0,0,1,0,0,Emergency Service Failures,0.00034844655663559827,5,High Effort,Improve ER staffing and triage; standardize escalation protocols; implement real-time queue visibility.,"[{""kpi"": ""Door-to-provider time (minutes)"", ""target"": ""< 20""}, {""kpi"": ""ER complaint rate per 100 visits"", ""target"": ""< 3""}, {""kpi"": ""Escalations resolved within SLA (%)"", ""target"": ""> 90%""}]",[],[],2.1999999999999997
There is great team of doctors and good OT facility.,1.0,great team doctor good facility,4,Consultation & Positive Patient Experience,3.4492688121049375,-2.4492688121049375,4,Consultation & Positive Patient Experience,Consultation & Positive Patient Experience,Clinical Care & Treatment Quality,0.033693741890030694,0.0341853786740134,0.03377764934381782,0.8644649540368669,0.03387827605527129,-0.0007602319130748413,0.0004550996768733935,-0.0001745368339419621,0.017448942949080625,-0.00028966003076319485,0,0,0,1,0,Consultation & Positive Patient Experience,0.006083226390717464,1,Quick Win,Improve communication scripts and consultation transparency; provide discharge instructions and next-steps summary.,"[{""kpi"": ""Communication complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Patient satisfaction (post-visit survey)"", ""target"": ""> 4.2/5""}, {""kpi"": ""Instruction clarity score (%)"", ""target"": ""> 90%""}]",[],[],5.0
"My primary concern arose from the insistence on conducting multiple tests, which appeared unrelated to my condition, before initiating any treatment.",2.0,primary concern arose insistence conducting multiple test appeared unrelated condition initiating treatment,3,Emergency Service Failures,3.2676579816375395,-1.2676579816375395,3,Emergency Service Failures,Consultation & Positive Patient Experience,Emergency Service Failures,0.04070062574325331,0.04108517692082064,0.8374808820801579,0.040649632844319564,0.04008368241144859,-0.0009183282365349779,0.000546954618208315,-0.0043274551215016855,0.000820499571543483,-0.0003427163962375167,0,0,1,0,0,Emergency Service Failures,0.00034844655663559827,5,High Effort,Improve ER staffing and triage; standardize escalation protocols; implement real-time queue visibility.,"[{""kpi"": ""Door-to-provider time (minutes)"", ""target"": ""< 20""}, {""kpi"": ""ER complaint rate per 100 visits"", ""target"": ""< 3""}, {""kpi"": ""Escalations resolved within SLA (%)"", ""target"": ""> 90%""}]",[],[],2.8
"Good and clean hospital.  The medical facilities are all great with good in-patient post operative care by doctors, nurses. The housekeeping staff is also good but they can respond to calls from the room a little faster.",5.0,good clean hospital medical facility great good patient post operative care doctor nurse housekeeping staff also good respond call room little faster,4,Consultation & Positive Patient Experience,4.356433801541127,0.6435661984588732,4,Consultation & Positive Patient Experience,Consultation & Positive Patient Experience,Clinical Care & Treatment Quality,0.009621171240141725,0.009668705346825134,0.00958484969046666,0.9615072315353144,0.009618042187252146,-0.000217082490920302,0.00012871656976756195,-4.9527108939859726e-05,0.019407709647270045,-8.223447944328562e-05,0,0,0,1,0,Consultation & Positive Patient Experience,0.006083226390717464,1,Quick Win,Improve communication scripts and consultation transparency; provide discharge instructions and next-steps summary.,"[{""kpi"": ""Communication complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Patient satisfaction (post-visit survey)"", ""target"": ""> 4.2/5""}, {""kpi"": ""Instruction clarity score (%)"", ""target"": ""> 90%""}]",[],[],2.6
"Recently underwent a surgery for my left shoulder, the doctors are extremely good, but the management needs to be more patient oriented than money minded.",3.0,recently underwent surgery left shoulder doctor extremely good management need patient oriented money minded,3,Emergency Service Failures,3.1554729010583014,-0.15547290105830136,1,Clinical Care & Treatment Quality,Consultation & Positive Patient Experience,Clinical Care & Treatment Quality,0.4454268585584987,0.018518363979575826,0.49888384548572634,0.018623746757391764,0.018547185218807303,-0.010050166405442708,0.00024652941667530244,-0.0025778468480609773,0.00037591424979154843,-0.00015857885543778963,1,0,1,0,0,Clinical Care & Treatment Quality,0.005357950627230814,2,High Effort,Standardize clinical pathways; introduce peer review + checklist adherence; increase follow-up quality checks.,"[{""kpi"": ""Clinical complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Follow-up completion rate (%)"", ""target"": ""> 80%""}, {""kpi"": ""Readmission rate (if available)"", ""target"": ""Decrease MoM""}]",[],[],3.4
"Over all experience was good, starting from reception,lab services and doctors interaction.Doctor with whom I have had consultation was so nice.He heard me with patience and clarified all my health condition.",5.0,experience good starting reception lab service doctor interaction doctor consultation nice heard patience clarified health condition,2,Overall Service & Facility Cleanliness,3.808690116941939,1.1913098830580608,2,Overall Service & Facility Cleanliness,Overall Service & Facility Cleanliness,Wait Time & Operational Efficiency,0.015729458500446516,0.8100599389036998,0.01593446761998103,0.015709370469985346,0.1425667645058874,-0.0003549037790594557,0.01078408462163376,-8.233703596817117e-05,0.00031708851563814366,-0.0012189490789086082,0,1,0,0,0,Overall Service & Facility Cleanliness,0.0018635202856314432,3,Quick Win,Strengthen housekeeping SLA and hourly rounding; implement rapid-response cleaning for high-traffic areas.,"[{""kpi"": ""Cleanliness complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Room turnaround time (minutes)"", ""target"": ""< 30""}, {""kpi"": ""Hygiene audit score (%)"", ""target"": ""> 95%""}]",[],[],1.8000000000000003
"However,the services of front office (where we report first) need to be improved( services should be fast).",5.0,however service front office report first need improved service fast,1,Clinical Care & Treatment Quality,3.6736067837919095,1.3263932162080905,1,Clinical Care & Treatment Quality,Overall Service & Facility Cleanliness,Clinical Care & Treatment Quality,0.47759162797108146,0.4468296616561448,0.025038885601731547,0.025495565767653935,0.02504425900338817,-0.010775900111836833,0.005948509056351063,-0.00012938164446783996,0.0005146196736569543,-0.00021412898405832846,1,1,0,0,0,Clinical Care & Treatment Quality,0.005357950627230814,2,High Effort,Standardize clinical pathways; introduce peer review + checklist adherence; increase follow-up quality checks.,"[{""kpi"": ""Clinical complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Follow-up completion rate (%)"", ""target"": ""> 80%""}, {""kpi"": ""Readmission rate (if available)"", ""target"": ""Decrease MoM""}]",[],[],2.2
